ActionCode,ProductId,description_EN,description_DE,Color
I,CC102-PDMI-001,eClass_5.1.3,24200102,24333poQ
I,CC200-009-001,eClass_5.1.3,24200102,CC102-PDMI-001
I,CC200-070-001,eClass_5.1.3,24200102,CC102-PDMI-001
I,CC200-099,eClass_5.1.3,24200102,CC102-PDMI-001
I,CC200-100,eClass_5.1.3,24200102,CC102-PDMI-001
I,CC225-002,eClass_5.1.3,24200102,CC102-PDMI-001
I,CC225-PO14-E,eClass_5.1.3,24200102,CC102-PDMI-001
I,CC453-PTTI-001,eClass_5.1.3,24200102,CC102-PDMI-001
I,CC461-PP03-001,eClass_5.1.3,24200102,CC102-PDMI-001
I,CC480-PVC1-001,eClass_5.1.3,24200102,CC102-PDMI-001
I,CC482-PDR1-001,eClass_5.1.3,24200102,CC102-PDMI-001
I,CC710-PREL-001,eClass_5.1.3,24200102,CC102-PDMI-001
I,CC961-RFS-B/L,eClass_5.1.3,24200102,CC102-PDMI-001
